,fiction_work,film_adaptation,film_year
0,"100 Rifles (1958), Robert MacLeod",100 Rifles (1969),['1969']
1,"101 Reykjavík (1996), Hallgrímur Helgason",101 Reykjavík (2000),['2000']
2,"The 120 Days of Sodom (Les 120 journées de Sodome, ou l'École du libertinage), novel (1785), pub. (1904), Marquis de Sade",Salò (1975),['1975']
3,"The 25th Hour (2001), David Benioff",25th Hour (2002),['2002']
4,"2010: Odyssey Two (1982), Arthur C. Clarke",2010 (1984),['1984']
5,"4.50 From Paddington (1957), Agatha Christie","Murder, She Said (1961)
Le crime est notre affaire (2008)","['1961', '2008']"
6,"42nd Street (1930), Bradford Ropes",42nd Street (1933),['1933']
7,"48 Shades of Brown (1999), Nick Earls",48 Shades (2006),['2006']
8,"491 (1961), Lars Görling",491 (1964),['1964']
9,"50 Shades of Grey (2011), E.L. James",50 Shades of Grey (2015),['2015']
10,"50 Ways of Saying Fabulous (2001), Graeme Aitken",50 Ways of Saying Fabulous (2005),['2005']
11,"52 Pick-Up (1974), Elmore Leonard","The Ambassador (1984)
52 Pick-Up (1986)","['1984', '1986']"
12,"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),['1990']
13,"633 Squadron (1956), Frederick E. Smith",633 Squadron (1964),['1964']
15,"The A.B.C. Murders (1936), Agatha Christie","The Alphabet Murders (1966)
The A.B.C. Murders (1992) (TV)","['1966', '1992']"
16,"À ton image (1998), Louise L. Lambrichs",À ton image (2004),['2004']
17,"De Aanslag (The Assault) (1982), Harry Mulisch",The Assault (1986),['1986']
18,"About a Boy (1998), Nick Hornby",About a Boy (2002),['2002']
19,"About Schmidt (1996), Louis Begley",About Schmidt (2002),['2002']
20,"Absolute Power (1996), David Baldacci",Absolute Power (1997),['1997']
21,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),['1988']
22,"Across 110th (1970), Wally Ferris",Across 110th Street (1972),['1972']
23,"Adam Resurrected (Man, Son of a Dog) (1971), Yoram Kaniuk",Adam Resurrected (2009),['2009']
24,"Adams Fall (2000), Sean Desmond",Abandon (2002),['2002']
25,"Addie Pray (1971), Joe David Brown",Paper Moon (1973),['1973']
26,"Adiliya by the River (1999), Jin Renshun",Green Tea (2003),['2003']
27,"Adolphe (1816), Benjamin Constant",Adolphe (2002),['2002']
28,"Adventure (1911), Jack London",Adventure (1925),['1925']
29,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),['1970']
30,"The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006),['2006']
31,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),['1954']
32,"Adventures of Huckleberry Finn (1884), Mark Twain","Huck and Tom (1918)
Huckleberry Finn (1920)
Huckleberry Finn (1931)
Huck Finn (1937)
The Adventures of Huckleberry Finn (1939)
The Adventures of Huckleberry Finn (1955) (TV)
The Adventures of Huckleberry Finn (1960)
Huckleberry Finn (1974)
Hopelessly Lost (1972)
Huckleberry Finn (1975) (TV)
The Adventures of Huckleberry Finn (1981) (TV)
Adventures of Huckleberry Finn (1985)
The Adventures of Mark Twain (1985)
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV)
The Adventures of Huck Finn (1993)
Tom and Huck (1995)
Tomato Sawyer and Huckleberry Larry's Big River Rescue (2008)","['1918', '1920', '1931', '1937', '1939', '1955', '1960', '1974', '1972', '1975', '1981', '1985', '1985', '1990', '1993', '1995', '2008']"
33,"The Adventures of Pinocchio (1883), Carlo Collodi","The Adventures of Pinocchio (1936) (Unfinished, considered a lost film)
Pinocchio (1940)
Pinocchio (1957) (TV)
The Adventures of Buratino (1959)
Pinocchio in Outer Space (1965)
Pinocchio (1968) (TV)
Pinocchio (1972)
The Adventures of Buratino (1975)
Pinocchio (1976) (TV)
The Adventures of Pinocchio (1984)
Pinocchio and the Emperor of the Night (1987)
964 Pinocchio (1991)
Pinocchio (1992)
Pinocchio's Revenge (1996)
The Adventures of Pinocchio (1996)
Geppetto (2000)
A.I. Artificial Intelligence (2001)
A Tree of Palme (2002)
Pinocchio (2002)
Pinocchio 3000 (2004)
Pinocchio (2008)
Pistachio – The Little Boy That Woodn't (2010)","['1936', '1940', '1957', '1959', '1965', '1968', '1972', '1975', '1976', '1984', '1987', '1991', '1992', '1996', '1996', '2000', '2001', '2002', '2002', '2004', '2008', '2010']"
34,"The Adventures of Sherlock Holmes (1891–1892) (series), (1892) (novel), Arthur Conan Doyle","Adventures of Sherlock Holmes; or, Held for Ransom (1905)
The Adventures of Sherlock Holmes (1921)
The Adventures of Sherlock Holmes (1939)
The Adventures of Sherlock Holmes and Dr. Watson (1979–1986) (series)
Sheerluck Holmes and the Golden Ruler (2006/5)","['1905', '1921', '1939', '1979', '2006']"
35,"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1907)
Tom Sawyer (1917)
* Huck and Tom (1918)
Tom Sawyer (1930)
* Huckleberry Finn (1931)
The Adventures of Tom Sawyer (1938)
Tom Sawyer (1936)
The Adventures of Mark Twain (1944)
Tom Sawyer (1973)
* Huckleberry Finn (1974)
Tom Sawyer (1973) (TV)
* Huckleberry Finn (1975) (TV)
Tom Sawyer (1984)
The Adventures of Mark Twain (1985)
Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990) (TV)
Tom and Huck (1995)
Tom Sawyer (2000)","['1907', '1917', '1918', '1930', '1931', '1938', '1936', '1944', '1973', '1974', '1973', '1975', '1984', '1985', '1990', '1995', '2000']"
36,"Advise and Consent (1959), Allen Drury",Advise & Consent (1962),['1962']
37,"Aelita (1923) (a. k. a. Aelita or, The Decline of Mars), Alexei Tolstoy",Aelita (1924),['1924']
38,"The African Queen (1935), C. S. Forester",The African Queen (1951),['1951']
39,"After Dark, My Sweet (1955), Jim Thompson","After Dark, My Sweet (1990)",['1990']
40,"After Hours (1979), Edwin Torres",Carlito's Way (1993),['1993']
41,"After the Funeral (1953), Agatha Christie",Murder at the Gallop (1963),['1963']
42,"The Age of Innocence (1921), Edith Wharton","The Age of Innocence (1924)
The Age of Innocence (1928)
The Age of Innocence (1934)
The Age of Innocence (1993)","['1924', '1928', '1934', '1993']"
43,"The Agony and the Ecstasy (1961), Irving Stone",The Agony and the Ecstasy (1965),['1965']
44,"Äideistä parhain (Mother of Mine) (1999), Heikki Hietamies",Äideistä parhain (Mother of Mine) (2005) (a. k. a. Den bästa av mödrar (Swedish)),['2005']
45,"Aimez-vous Brahms? (1959), Françoise Sagan","Goodbye Again (1961)
Jahan Tum Le Chalo (1999)","['1961', '1999']"
46,"Air America (1985), Christopher Robbins",Air America (1990),['1990']
47,"Airborn (2004), Kenneth Oppel",Airborn (2012),['2012']
48,"Airport (1968), Arthur Hailey","Airport (1970)
* Airport 1975 (1975)
** Airport '77 (1977)
*** The Concorde ... Airport '79 (1979)","['1970', '1975', '1977', '1979']"
49,"Alice Adams (1921), Booth Tarkington","Alice Adams (1923)
Alice Adams (1935)","['1923', '1935']"
50,"Allan Quatermain (1887), Sir H. Rider Haggard",Allan Quatermain and the Lost City of Gold (1987),['1987']
51,"All Fall Down (1960), James Leo Herlihy",All Fall Down (1962),['1962']
52,"All the Brothers Were Valiant (1919), Ben Ames Williams","All the Brothers Were Valiant (1923)
Across to Singapore (1928)
All the Brothers Were Valiant (1953)","['1923', '1928', '1953']"
53,"All the King's Men (1946), Robert Penn Warren","All the King's Men (1949)
All the King's Men (2006)","['1949', '2006']"
54,"All the Pretty Horses (1992), Cormac McCarthy",All the Pretty Horses (2000),['2000']
55,"All the Rivers Run (1958), Nancy Cato",All the Rivers Run (1983–1990) (mini),['1983']
56,"All the Way (2001), Andy Behrens",Sex Drive (2008),['2008']
57,"All You Need Is Kill (2009), Hiroshi Sakurazaka",Edge of Tomorrow (2014),['2014']
58,"Almayer's Folly (1895), Joseph Conrad","Hanyut (2011)
Almayer's Folly (2011)","['2011', '2011']"
59,"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001),['2001']
60,"Altered States (1978), Paddy Chayefsky",Altered States (1980),['1980']
61,"Always Another Dawn (1948), Zelma Roberts",Always Another Dawn (1948),['1948']
62,"Always Outnumbered, Always Outgunned (1987), Walter Mosley",Always Outnumbered (1998) (TV),['1998']
63,"El Amante Bilingüe (The Bilingual Lover) (1990), Juan Marsé",El Amante Bilingüe (1993),['1993']
64,"El Amateur (The Amateur) (1990), Mauricio Dayub",El Amateur (1999),['1999']
65,"An American Dream (1965), Norman Mailer",An American Dream (1966),['1966']
66,"American Knees (1995), Shawn Wong",Americanese (2006),['2006']
67,"American Psycho (1991), Bret Easton Ellis","American Psycho (2000)
* American Psycho 2: All-American Girl (2002) (V)","['2000', '2002']"
68,"American Splendor (1976–2008), Harvey Pekar",American Splendor (2003),['2003']
69,"An American Tragedy (1925), Theodore Dreiser",A Place in the Sun (1951),['1951']
70,"The Americanization of Emily (1959), William Bradford Huie",The Americanization of Emily (1964),['1964']
